Pressao inicial;Pressao final;Deslocamento;Toxicidade de A
0;0;0;0
0.1;0;0;0.1
0.2;0;0;0.2
0.3;0;0;0.3
0.4;0;0;0.4
0.5;0;0;0.5
0.6;0;0;0.6
0.7;0;0;0.7
0.8;0;0;0.8
0.9;0;0;0.9
1;0;0;1
0;0.1;0;0
0.1;0.1;0;0.1
0.2;0.1;0;0.2
0.3;0.1;0;0.3
0.4;0.1;0;0.4
0.5;0.1;0;0.5
0.6;0.1;0;0.6
0.7;0.1;0;0.7
0.8;0.1;0;0.8
0.9;0.1;0;0.9
1;0.1;0;1
0;0.2;0;0
0.1;0.2;0;0.1
0.2;0.2;0;0.2
0.3;0.2;0;0.3
0.4;0.2;0;0.4
0.5;0.2;0;0.5
0.6;0.2;0;0.6
0.7;0.2;0;0.7
0.8;0.2;0;0.8
0.9;0.2;0;0.9
1;0.2;0;1
0;0.3;0;0
0.1;0.3;0;0.1
0.2;0.3;0;0.2
0.3;0.3;0;0.3
0.4;0.3;0;0.4
0.5;0.3;0;0.5
0.6;0.3;0;0.6
0.7;0.3;0;0.7
0.8;0.3;0;0.8
0.9;0.3;0;0.9
1;0.3;0;1
0;0.4;0;0
0.1;0.4;0;0.1
0.2;0.4;0;0.2
0.3;0.4;0;0.3
0.4;0.4;0;0.4
0.5;0.4;0;0.5
0.6;0.4;0;0.6
0.7;0.4;0;0.7
0.8;0.4;0;0.8
0.9;0.4;0;0.9
1;0.4;0;1
0;0.5;0;0
0.1;0.5;0;0.1
0.2;0.5;0;0.2
0.3;0.5;0;0.3
0.4;0.5;0;0.4
0.5;0.5;0;0.5
0.6;0.5;0;0.6
0.7;0.5;0;0.7
0.8;0.5;0;0.8
0.9;0.5;0;0.9
1;0.5;0;1
0;0.6;0;0
0.1;0.6;0;0.1
0.2;0.6;0;0.2
0.3;0.6;0;0.3
0.4;0.6;0;0.4
0.5;0.6;0;0.5
0.6;0.6;0;0.6
0.7;0.6;0;0.7
0.8;0.6;0;0.8
0.9;0.6;0;0.9
1;0.6;0;1
0;0.7;0;0
0.1;0.7;0;0.1
0.2;0.7;0;0.2
0.3;0.7;0;0.3
0.4;0.7;0;0.4
0.5;0.7;0;0.5
0.6;0.7;0;0.6
0.7;0.7;0;0.7
0.8;0.7;0;0.8
0.9;0.7;0;0.9
1;0.7;0;1
0;0.8;0;0
0.1;0.8;0;0.1
0.2;0.8;0;0.2
0.3;0.8;0;0.3
0.4;0.8;0;0.4
0.5;0.8;0;0.5
0.6;0.8;0;0.6
0.7;0.8;0;0.7
0.8;0.8;0;0.8
0.9;0.8;0;0.9
1;0.8;0;1
0;0.9;0;0
0.1;0.9;0;0.1
0.2;0.9;0;0.2
0.3;0.9;0;0.3
0.4;0.9;0;0.4
0.5;0.9;0;0.5
0.6;0.9;0;0.6
0.7;0.9;0;0.7
0.8;0.9;0;0.8
0.9;0.9;0;0.9
1;0.9;0;1
0;1;0;0
0.1;1;0;0.1
0.2;1;0;0.2
0.3;1;0;0.3
0.4;1;0;0.4
0.5;1;0;0.5
0.6;1;0;0.6
0.7;1;0;0.7
0.8;1;0;0.8
0.9;1;0;0.9
1;1;0;1
0;0;0.2;0
0.1;0;0.2;0.0975
0.2;0;0.2;0.195
0.3;0;0.2;0.2925
0.4;0;0.2;0.39
0.5;0;0.2;0.4875
0.6;0;0.2;0.585
0.7;0;0.2;0.6825
0.8;0;0.2;0.78
0.9;0;0.2;0.8775
1;0;0.2;0.975
0;0.1;0.2;0.0025
0.1;0.1;0.2;0.1
0.2;0.1;0.2;0.1975
