Dam (Difusividade no ar);Densidade;Pressão de Vapor;Tempo de Evaporacao;Pressão Total
5e-05;1000;2.88;9.12328e+10;4
5.5e-05;1000;2.88;8.29389e+10;4
6e-05;1000;2.88;7.60273e+10;4
6.5e-05;1000;2.88;7.01791e+10;4
7e-05;1000;2.88;6.51663e+10;4
7.5e-05;1000;2.88;6.08218e+10;4
8e-05;1000;2.88;5.70205e+10;4
8.5e-05;1000;2.88;5.36663e+10;4
9e-05;1000;2.88;5.06849e+10;4
9.5e-05;1000;2.88;4.80172e+10;4
0.0001;1000;2.88;4.56164e+10;4
5e-05;1020;2.88;9.30574e+10;4
5.5e-05;1020;2.88;8.45977e+10;4
6e-05;1020;2.88;7.75479e+10;4
6.5e-05;1020;2.88;7.15826e+10;4
7e-05;1020;2.88;6.64696e+10;4
7.5e-05;1020;2.88;6.20383e+10;4
8e-05;1020;2.88;5.81609e+10;4
8.5e-05;1020;2.88;5.47397e+10;4
9e-05;1020;2.88;5.16986e+10;4
9.5e-05;1020;2.88;4.89776e+10;4
0.0001;1020;2.88;4.65287e+10;4
5e-05;1040;2.88;9.48821e+10;4
5.5e-05;1040;2.88;8.62564e+10;4
6e-05;1040;2.88;7.90684e+10;4
6.5e-05;1040;2.88;7.29862e+10;4
7e-05;1040;2.88;6.77729e+10;4
7.5e-05;1040;2.88;6.32547e+10;4
8e-05;1040;2.88;5.93013e+10;4
8.5e-05;1040;2.88;5.5813e+10;4
9e-05;1040;2.88;5.27123e+10;4
9.5e-05;1040;2.88;4.99379e+10;4
0.0001;1040;2.88;4.7441e+10;4
5e-05;1060;2.88;9.67067e+10;4
5.5e-05;1060;2.88;8.79152e+10;4
6e-05;1060;2.88;8.05889e+10;4
6.5e-05;1060;2.88;7.43898e+10;4
7e-05;1060;2.88;6.90762e+10;4
7.5e-05;1060;2.88;6.44712e+10;4
8e-05;1060;2.88;6.04417e+10;4
8.5e-05;1060;2.88;5.68863e+10;4
9e-05;1060;2.88;5.3726e+10;4
9.5e-05;1060;2.88;5.08983e+10;4
0.0001;1060;2.88;4.83534e+10;4
5e-05;1080;2.88;9.85314e+10;4
5.5e-05;1080;2.88;8.9574e+10;4
6e-05;1080;2.88;8.21095e+10;4
6.5e-05;1080;2.88;7.57934e+10;4
7e-05;1080;2.88;7.03796e+10;4
7.5e-05;1080;2.88;6.56876e+10;4
8e-05;1080;2.88;6.15821e+10;4
8.5e-05;1080;2.88;5.79596e+10;4
9e-05;1080;2.88;5.47397e+10;4
9.5e-05;1080;2.88;5.18586e+10;4
0.0001;1080;2.88;4.92657e+10;4
5e-05;1100;2.88;1.00356e+11;4
5.5e-05;1100;2.88;9.12328e+10;4
6e-05;1100;2.88;8.363e+10;4
6.5e-05;1100;2.88;7.7197e+10;4
7e-05;1100;2.88;7.16829e+10;4
7.5e-05;1100;2.88;6.6904e+10;4
8e-05;1100;2.88;6.27225e+10;4
8.5e-05;1100;2.88;5.9033e+10;4
9e-05;1100;2.88;5.57534e+10;4
9.5e-05;1100;2.88;5.2819e+10;4
0.0001;1100;2.88;5.0178e+10;4
5e-05;1120;2.88;1.02181e+11;4
5.5e-05;1120;2.88;9.28915e+10;4
6e-05;1120;2.88;8.51506e+10;4
6.5e-05;1120;2.88;7.86005e+10;4
7e-05;1120;2.88;7.29862e+10;4
7.5e-05;1120;2.88;6.81205e+10;4
8e-05;1120;2.88;6.38629e+10;4
8.5e-05;1120;2.88;6.01063e+10;4
9e-05;1120;2.88;5.67671e+10;4
9.5e-05;1120;2.88;5.37793e+10;4
0.0001;1120;2.88;5.10904e+10;4
5e-05;1140;2.88;1.04005e+11;4
5.5e-05;1140;2.88;9.45503e+10;4
6e-05;1140;2.88;8.66711e+10;4
6.5e-05;1140;2.88;8.00041e+10;4
7e-05;1140;2.88;7.42895e+10;4
