Dam (m²/s);Densidade (mol/m³);Pressão de vapor (Pa);Tempo de evaporação (s)
5.00000e-05;1000.00;2.88;17205361.11
5.55556e-05;1000.00;2.88;15484825.00
6.11111e-05;1000.00;2.88;14077113.64
6.66667e-05;1000.00;2.88;12904020.83
7.22222e-05;1000.00;2.88;11911403.85
7.77778e-05;1000.00;2.88;11060589.29
8.33333e-05;1000.00;2.88;10323216.67
8.88889e-05;1000.00;2.88;9678015.63
9.44444e-05;1000.00;2.88;9108720.59
1.00000e-04;1000.00;2.88;8602680.56
5.00000e-05;1022.22;2.88;17587702.47
5.55556e-05;1022.22;2.88;15828932.22
6.11111e-05;1022.22;2.88;14389938.38
6.66667e-05;1022.22;2.88;13190776.85
7.22222e-05;1022.22;2.88;12176101.71
7.77778e-05;1022.22;2.88;11306380.16
8.33333e-05;1022.22;2.88;10552621.48
8.88889e-05;1022.22;2.88;9893082.64
9.44444e-05;1022.22;2.88;9311136.60
1.00000e-04;1022.22;2.88;8793851.23
5.00000e-05;1044.44;2.88;17970043.83
5.55556e-05;1044.44;2.88;16173039.44
6.11111e-05;1044.44;2.88;14702763.13
6.66667e-05;1044.44;2.88;13477532.87
7.22222e-05;1044.44;2.88;12440799.57
7.77778e-05;1044.44;2.88;11552171.03
8.33333e-05;1044.44;2.88;10782026.30
8.88889e-05;1044.44;2.88;10108149.65
9.44444e-05;1044.44;2.88;9513552.61
1.00000e-04;1044.44;2.88;8985021.91
5.00000e-05;1066.67;2.88;18352385.19
5.55556e-05;1066.67;2.88;16517146.67
6.11111e-05;1066.67;2.88;15015587.88
6.66667e-05;1066.67;2.88;13764288.89
7.22222e-05;1066.67;2.88;12705497.44
7.77778e-05;1066.67;2.88;11797961.90
8.33333e-05;1066.67;2.88;11011431.11
8.88889e-05;1066.67;2.88;10323216.67
9.44444e-05;1066.67;2.88;9715968.63
1.00000e-04;1066.67;2.88;9176192.59
5.00000e-05;1088.89;2.88;18734726.54
5.55556e-05;1088.89;2.88;16861253.89
6.11111e-05;1088.89;2.88;15328412.63
6.66667e-05;1088.89;2.88;14051044.91
7.22222e-05;1088.89;2.88;12970195.30
7.77778e-05;1088.89;2.88;12043752.78
8.33333e-05;1088.89;2.88;11240835.93
8.88889e-05;1088.89;2.88;10538283.68
