Distância da Fonte [R];Dam [m²/2];Pressao parcial [Pa];Distribuição do Tempo de Difusão;Pressão Total [P]
0.01;5e-05;2.88;973.15;4
0.019;5e-05;2.88;3513.07;4
0.028;5e-05;2.88;7629.49;4
0.037;5e-05;2.88;13322.4;4
0.046;5e-05;2.88;20591.8;4
0.055;5e-05;2.88;29437.8;4
0.064;5e-05;2.88;39860.2;4
0.073;5e-05;2.88;51859.1;4
0.082;5e-05;2.88;65434.6;4
0.091;5e-05;2.88;80586.5;4
0.1;5e-05;2.88;97315;4
0.01;5.5e-05;2.88;884.681;4
0.019;5.5e-05;2.88;3193.7;4
0.028;5.5e-05;2.88;6935.9;4
0.037;5.5e-05;2.88;12111.3;4
0.046;5.5e-05;2.88;18719.9;4
0.055;5.5e-05;2.88;26761.6;4
0.064;5.5e-05;2.88;36236.6;4
0.073;5.5e-05;2.88;47144.7;4
0.082;5.5e-05;2.88;59486;4
0.091;5.5e-05;2.88;73260.5;4
0.1;5.5e-05;2.88;88468.1;4
0.01;6e-05;2.88;810.958;4
0.019;6e-05;2.88;2927.56;4
0.028;6e-05;2.88;6357.91;4
0.037;6e-05;2.88;11102;4
0.046;6e-05;2.88;17159.9;4
0.055;6e-05;2.88;24531.5;4
0.064;6e-05;2.88;33216.8;4
0.073;6e-05;2.88;43216;4
0.082;6e-05;2.88;54528.8;4
0.091;6e-05;2.88;67155.4;4
0.1;6e-05;2.88;81095.8;4
0.01;6.5e-05;2.88;748.577;4
0.019;6.5e-05;2.88;2702.36;4
0.028;6.5e-05;2.88;5868.84;4
0.037;6.5e-05;2.88;10248;4
0.046;6.5e-05;2.88;15839.9;4
0.055;6.5e-05;2.88;22644.4;4
0.064;6.5e-05;2.88;30661.7;4
0.073;6.5e-05;2.88;39891.6;4
0.082;6.5e-05;2.88;50334.3;4
0.091;6.5e-05;2.88;61989.6;4
0.1;6.5e-05;2.88;74857.7;4
0.01;7e-05;2.88;695.107;4
0.019;7e-05;2.88;2509.34;4
0.028;7e-05;2.88;5449.64;4
0.037;7e-05;2.88;9516.01;4
0.046;7e-05;2.88;14708.5;4
0.055;7e-05;2.88;21027;4
0.064;7e-05;2.88;28471.6;4
0.073;7e-05;2.88;37042.2;4
0.082;7e-05;2.88;46739;4
0.091;7e-05;2.88;57561.8;4
0.1;7e-05;2.88;69510.7;4
0.01;7.5e-05;2.88;648.766;4
0.019;7.5e-05;2.88;2342.05;4
0.028;7.5e-05;2.88;5086.33;4
0.037;7.5e-05;2.88;8881.61;4
0.046;7.5e-05;2.88;13727.9;4
0.055;7.5e-05;2.88;19625.2;4
0.064;7.5e-05;2.88;26573.5;4
0.073;7.5e-05;2.88;34572.8;4
0.082;7.5e-05;2.88;43623.1;4
0.091;7.5e-05;2.88;53724.3;4
0.1;7.5e-05;2.88;64876.6;4
0.01;8e-05;2.88;608.218;4
0.019;8e-05;2.88;2195.67;4
0.028;8e-05;2.88;4768.43;4
0.037;8e-05;2.88;8326.51;4
0.046;8e-05;2.88;12869.9;4
0.055;8e-05;2.88;18398.6;4
0.064;8e-05;2.88;24912.6;4
0.073;8e-05;2.88;32412;4
0.082;8e-05;2.88;40896.6;4
0.091;8e-05;2.88;50366.6;4
0.1;8e-05;2.88;60821.8;4
0.01;8.5e-05;2.88;572.441;4
0.019;8.5e-05;2.88;2066.51;4
0.028;8.5e-05;2.88;4487.94;4
0.037;8.5e-05;2.88;7836.72;4
0.046;8.5e-05;2.88;12112.8;4
0.055;8.5e-05;2.88;17316.3;4
0.064;8.5e-05;2.88;23447.2;4
0.073;8.5e-05;2.88;30505.4;4
0.082;8.5e-05;2.88;38490.9;4
