x (m);Ca Linear (kg/m^3);Ca Não Linear (kg/m^3)
0.00000;10.00000;10.00000
0.10000;8.91312;8.98570
0.20000;8.04066;8.27802
0.30000;7.32456;7.76876
0.40000;6.72599;7.39248
0.50000;6.21800;7.10800
0.60000;5.78128;6.88854
0.70000;5.40166;6.71617
0.80000;5.06848;6.57858
0.90000;4.77358;6.46712
1.00000;4.51061;6.37560
1.10000;4.27455;6.29952
1.20000;4.06137;6.23552
1.30000;3.86783;6.18111
1.40000;3.69125;6.13438
1.50000;3.52942;6.09384
1.60000;3.38051;6.05836
1.70000;3.24298;6.02703
1.80000;3.11551;5.99914
1.90000;2.99698;5.97412
2.00000;2.88644;5.95150
