x_Volume_m3;y_R1_m;z_Espessura_m;Vazao_Na_m3_s
0.200000;0.100000;0.100000;0.000020
0.200000;0.100000;0.300000;0.000001
0.200000;0.100000;0.500000;0.000000
0.400000;0.100000;0.100000;0.000039
0.400000;0.100000;0.300000;0.000002
0.400000;0.100000;0.500000;0.000001
0.600000;0.100000;0.100000;0.000059
0.600000;0.100000;0.300000;0.000004
0.600000;0.100000;0.500000;0.000001
0.800000;0.100000;0.100000;0.000078
0.800000;0.100000;0.300000;0.000005
0.800000;0.100000;0.500000;0.000001
1.000000;0.100000;0.100000;0.000098
1.000000;0.100000;0.300000;0.000006
1.000000;0.100000;0.500000;0.000002
0.200000;0.300000;0.100000;0.000009
0.200000;0.300000;0.300000;0.000001
0.200000;0.300000;0.500000;0.000000
0.400000;0.300000;0.100000;0.000017
0.400000;0.300000;0.300000;0.000001
0.400000;0.300000;0.500000;0.000000
0.600000;0.300000;0.100000;0.000026
0.600000;0.300000;0.300000;0.000002
0.600000;0.300000;0.500000;0.000001
0.800000;0.300000;0.100000;0.000034
0.800000;0.300000;0.300000;0.000003
0.800000;0.300000;0.500000;0.000001
1.000000;0.300000;0.100000;0.000043
1.000000;0.300000;0.300000;0.000003
1.000000;0.300000;0.500000;0.000001
0.200000;0.500000;0.100000;0.000006
0.200000;0.500000;0.300000;0.000000
0.200000;0.500000;0.500000;0.000000
0.400000;0.500000;0.100000;0.000011
0.400000;0.500000;0.300000;0.000001
0.400000;0.500000;0.500000;0.000000
0.600000;0.500000;0.100000;0.000017
0.600000;0.500000;0.300000;0.000001
0.600000;0.500000;0.500000;0.000000
0.800000;0.500000;0.100000;0.000022
0.800000;0.500000;0.300000;0.000002
0.800000;0.500000;0.500000;0.000001
1.000000;0.500000;0.100000;0.000028
1.000000;0.500000;0.300000;0.000002
1.000000;0.500000;0.500000;0.000001
