Dam_m2_s;Ca_mol_m3;L_membrana_m
1.000000e-05;0.500000;132.689199
1.000000e-05;0.507692;130.647827
1.000000e-05;0.515385;128.606454
1.000000e-05;0.523077;126.565082
1.000000e-05;0.530769;124.523710
1.000000e-05;0.538462;122.482338
1.000000e-05;0.546154;120.440965
1.000000e-05;0.553846;118.399593
1.000000e-05;0.561538;116.358221
1.000000e-05;0.569231;114.316848
1.000000e-05;0.576923;112.275476
1.000000e-05;0.584615;110.234104
1.000000e-05;0.592308;108.192732
1.000000e-05;0.600000;106.151359
1.000000e-05;0.607692;104.109987
1.000000e-05;0.615385;102.068615
1.000000e-05;0.623077;100.027242
1.000000e-05;0.630769;97.985870
1.000000e-05;0.638462;95.944498
1.000000e-05;0.646154;93.903125
1.000000e-05;0.653846;91.861753
1.000000e-05;0.661538;89.820381
1.000000e-05;0.669231;87.779009
1.000000e-05;0.676923;85.737636
1.000000e-05;0.684615;83.696264
1.000000e-05;0.692308;81.654892
1.000000e-05;0.700000;79.613519
1.000000e-05;0.707692;77.572147
1.000000e-05;0.715385;75.530775
1.000000e-05;0.723077;73.489403
1.000000e-05;0.730769;71.448030
1.000000e-05;0.738462;69.406658
1.000000e-05;0.746154;67.365286
1.000000e-05;0.753846;65.323913
1.000000e-05;0.761538;63.282541
1.000000e-05;0.769231;61.241169
1.000000e-05;0.776923;59.199796
1.000000e-05;0.784615;57.158424
1.000000e-05;0.792308;55.117052
1.000000e-05;0.800000;53.075680
1.025641e-05;0.500000;129.371969
1.025641e-05;0.507692;127.381631
1.025641e-05;0.515385;125.391293
1.025641e-05;0.523077;123.400955
1.025641e-05;0.530769;121.410617
1.025641e-05;0.538462;119.420279
1.025641e-05;0.546154;117.429941
1.025641e-05;0.553846;115.439603
1.025641e-05;0.561538;113.449265
1.025641e-05;0.569231;111.458927
1.025641e-05;0.576923;109.468589
1.025641e-05;0.584615;107.478251
1.025641e-05;0.592308;105.487913
1.025641e-05;0.600000;103.497575
1.025641e-05;0.607692;101.507237
1.025641e-05;0.615385;99.516899
1.025641e-05;0.623077;97.526561
1.025641e-05;0.630769;95.536223
1.025641e-05;0.638462;93.545885
1.025641e-05;0.646154;91.555547
1.025641e-05;0.653846;89.565209
1.025641e-05;0.661538;87.574871
1.025641e-05;0.669231;85.584533
1.025641e-05;0.676923;83.594195
1.025641e-05;0.684615;81.603857
1.025641e-05;0.692308;79.613519
1.025641e-05;0.700000;77.623181
1.025641e-05;0.707692;75.632843
1.025641e-05;0.715385;73.642505
1.025641e-05;0.723077;71.652167
1.025641e-05;0.730769;69.661829
1.025641e-05;0.738462;67.671492
1.025641e-05;0.746154;65.681154
1.025641e-05;0.753846;63.690816
1.025641e-05;0.761538;61.700478
1.025641e-05;0.769231;59.710140
1.025641e-05;0.776923;57.719802
1.025641e-05;0.784615;55.729464
1.025641e-05;0.792308;53.739126
1.025641e-05;0.800000;51.748788
1.051282e-05;0.500000;126.216555
1.051282e-05;0.507692;124.274762
1.051282e-05;0.515385;122.332969
1.051282e-05;0.523077;120.391176
1.051282e-05;0.530769;118.449383
1.051282e-05;0.538462;116.507589
1.051282e-05;0.546154;114.565796
1.051282e-05;0.553846;112.624003
1.051282e-05;0.561538;110.682210
1.051282e-05;0.569231;108.740417
1.051282e-05;0.576923;106.798624
1.051282e-05;0.584615;104.856830
1.051282e-05;0.592308;102.915037
1.051282e-05;0.600000;100.973244
1.051282e-05;0.607692;99.031451
1.051282e-05;0.615385;97.089658
1.051282e-05;0.623077;95.147865
1.051282e-05;0.630769;93.206072
1.051282e-05;0.638462;91.264278
1.051282e-05;0.646154;89.322485
1.051282e-05;0.653846;87.380692
1.051282e-05;0.661538;85.438899
1.051282e-05;0.669231;83.497106
1.051282e-05;0.676923;81.555313
1.051282e-05;0.684615;79.613519
1.051282e-05;0.692308;77.671726
1.051282e-05;0.700000;75.729933
1.051282e-05;0.707692;73.788140
1.051282e-05;0.715385;71.846347
1.051282e-05;0.723077;69.904554
1.051282e-05;0.730769;67.962760
1.051282e-05;0.738462;66.020967
1.051282e-05;0.746154;64.079174
1.051282e-05;0.753846;62.137381
1.051282e-05;0.761538;60.195588
1.051282e-05;0.769231;58.253795
1.051282e-05;0.776923;56.312002
1.051282e-05;0.784615;54.370208
1.051282e-05;0.792308;52.428415
1.051282e-05;0.800000;50.486622
1.076923e-05;0.500000;123.211399
1.076923e-05;0.507692;121.315839
1.076923e-05;0.515385;119.420279
1.076923e-05;0.523077;117.524719
1.076923e-05;0.530769;115.629159
1.076923e-05;0.538462;113.733599
1.076923e-05;0.546154;111.838039
1.076923e-05;0.553846;109.942479
1.076923e-05;0.561538;108.046919
1.076923e-05;0.569231;106.151359
1.076923e-05;0.576923;104.255799
1.076923e-05;0.584615;102.360239
1.076923e-05;0.592308;100.464679
1.076923e-05;0.600000;98.569119
1.076923e-05;0.607692;96.673559
1.076923e-05;0.615385;94.777999
1.076923e-05;0.623077;92.882439
1.076923e-05;0.630769;90.986879
1.076923e-05;0.638462;89.091319
1.076923e-05;0.646154;87.195759
1.076923e-05;0.653846;85.300199
1.076923e-05;0.661538;83.404639
1.076923e-05;0.669231;81.509079
1.076923e-05;0.676923;79.613519
1.076923e-05;0.684615;77.717959
1.076923e-05;0.692308;75.822399
1.076923e-05;0.700000;73.926839
1.076923e-05;0.707692;72.031279
1.076923e-05;0.715385;70.135719
1.076923e-05;0.723077;68.240160
1.076923e-05;0.730769;66.344600
1.076923e-05;0.738462;64.449040
1.076923e-05;0.746154;62.553480
1.076923e-05;0.753846;60.657920
1.076923e-05;0.761538;58.762360
1.076923e-05;0.769231;56.866800
1.076923e-05;0.776923;54.971240
1.076923e-05;0.784615;53.075680
1.076923e-05;0.792308;51.180120
1.076923e-05;0.800000;49.284560
1.102564e-05;0.500000;120.346018
1.102564e-05;0.507692;118.494541
1.102564e-05;0.515385;116.643063
1.102564e-05;0.523077;114.791586
1.102564e-05;0.530769;112.940109
1.102564e-05;0.538462;111.088632
1.102564e-05;0.546154;109.237155
1.102564e-05;0.553846;107.385677
1.102564e-05;0.561538;105.534200
1.102564e-05;0.569231;103.682723
1.102564e-05;0.576923;101.831246
1.102564e-05;0.584615;99.979769
1.102564e-05;0.592308;98.128291
1.102564e-05;0.600000;96.276814
1.102564e-05;0.607692;94.425337
1.102564e-05;0.615385;92.573860
1.102564e-05;0.623077;90.722383
1.102564e-05;0.630769;88.870905
1.102564e-05;0.638462;87.019428
1.102564e-05;0.646154;85.167951
1.102564e-05;0.653846;83.316474
1.102564e-05;0.661538;81.464997
1.102564e-05;0.669231;79.613519
1.102564e-05;0.676923;77.762042
1.102564e-05;0.684615;75.910565
1.102564e-05;0.692308;74.059088
1.102564e-05;0.700000;72.207611
1.102564e-05;0.707692;70.356133
1.102564e-05;0.715385;68.504656
1.102564e-05;0.723077;66.653179
1.102564e-05;0.730769;64.801702
1.102564e-05;0.738462;62.950225
1.102564e-05;0.746154;61.098747
1.102564e-05;0.753846;59.247270
1.102564e-05;0.761538;57.395793
1.102564e-05;0.769231;55.544316
1.102564e-05;0.776923;53.692839
1.102564e-05;0.784615;51.841361
1.102564e-05;0.792308;49.989884
1.102564e-05;0.800000;48.138407
1.128205e-05;0.500000;117.610881
1.128205e-05;0.507692;115.801483
1.128205e-05;0.515385;113.992085
1.128205e-05;0.523077;112.182686
1.128205e-05;0.530769;110.373288
1.128205e-05;0.538462;108.563890
1.128205e-05;0.546154;106.754492
1.128205e-05;0.553846;104.945094
1.128205e-05;0.561538;103.135696
1.128205e-05;0.569231;101.326297
1.128205e-05;0.576923;99.516899
1.128205e-05;0.584615;97.707501
1.128205e-05;0.592308;95.898103
1.128205e-05;0.600000;94.088705
1.128205e-05;0.607692;92.279307
1.128205e-05;0.615385;90.469908
1.128205e-05;0.623077;88.660510
1.128205e-05;0.630769;86.851112
1.128205e-05;0.638462;85.041714
1.128205e-05;0.646154;83.232316
1.128205e-05;0.653846;81.422918
1.128205e-05;0.661538;79.613519
1.128205e-05;0.669231;77.804121
1.128205e-05;0.676923;75.994723
1.128205e-05;0.684615;74.185325
1.128205e-05;0.692308;72.375927
1.128205e-05;0.700000;70.566529
1.128205e-05;0.707692;68.757130
1.128205e-05;0.715385;66.947732
1.128205e-05;0.723077;65.138334
1.128205e-05;0.730769;63.328936
